,frame_length,num_frames,num_mels,total_power,dynamic_power,static_power,total_luts,fft_luts,lmfe_luts,total_ff,fft_ff,lmfe_ff,total_ramb18,fft_ramb18,lmfe_ramb18,total_dsp,fft_dsp,lmfe_dsp,max_clock_ns,consumed_cycles,max_freq_mhz,max_throughput_msamples_sec
37,512,16,13,0.233,0.14,0.093,6217,5662,556,3270,2920,350,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
38,512,16,15,0.233,0.14,0.093,6215,5662,554,3270,2920,350,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
39,512,16,20,0.233,0.14,0.093,6222,5662,561,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,671.3127540572956
40,512,32,10,0.233,0.14,0.093,6221,5662,560,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
41,512,32,13,0.233,0.14,0.093,6221,5662,560,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
42,512,32,15,0.233,0.14,0.093,6219,5662,558,3271,2920,351,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
43,512,32,20,0.233,0.14,0.093,6226,5662,565,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,1342.6255081145912
44,512,64,10,0.233,0.14,0.093,6219,5662,558,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
45,512,64,13,0.233,0.14,0.093,6221,5662,560,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
46,512,64,15,0.233,0.14,0.093,6222,5662,561,3272,2920,352,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
47,512,64,20,0.233,0.14,0.093,6228,5662,567,3273,2920,353,2,2,0,52,40,12,15.084,809,66.29541235746487,2685.2510162291824
48,1024,8,10,0.266,0.173,0.093,7802,7242,561,3716,3366,350,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
49,1024,8,13,0.266,0.173,0.093,7805,7242,564,3716,3366,350,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
50,1024,8,15,0.266,0.173,0.093,7810,7242,569,3716,3366,350,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
51,1024,8,20,0.266,0.173,0.093,7813,7242,572,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,343.51171286043774
52,1024,16,10,0.266,0.173,0.093,7806,7242,565,3717,3366,351,4,4,0,58,46,12,15.084,1581,66.29541235746487,687.0234257208755
